region,trips,time
region_2069,8.0,2016-06-01 01:00:00
region_2068,78.0,2016-06-01 01:00:00
region_1783,227.0,2016-06-01 01:00:00
region_1734,90.0,2016-06-01 01:00:00
region_1733,7.0,2016-06-01 01:00:00
region_1684,3.0,2016-06-01 01:00:00
region_1630,8.0,2016-06-01 01:00:00
region_1580,26.0,2016-06-01 01:00:00
region_1533,12.0,2016-06-01 01:00:00
region_1532,4.0,2016-06-01 01:00:00
region_1530,35.0,2016-06-01 01:00:00
region_1483,20.0,2016-06-01 01:00:00
region_1482,20.0,2016-06-01 01:00:00
region_1480,23.0,2016-06-01 01:00:00
region_1442,23.0,2016-06-01 01:00:00
region_1441,10.0,2016-06-01 01:00:00
region_1439,20.0,2016-06-01 01:00:00
region_1438,39.0,2016-06-01 01:00:00
region_1437,67.0,2016-06-01 01:00:00
region_1436,42.0,2016-06-01 01:00:00
region_1434,26.0,2016-06-01 01:00:00
region_1326,1.0,2016-06-01 01:00:00
region_1173,53.0,2016-06-01 01:00:00
region_1286,318.0,2016-06-01 01:00:00
region_1183,160.0,2016-06-01 01:00:00
region_1182,768.0,2016-06-01 01:00:00
region_1181,1133.0,2016-06-01 01:00:00
region_1180,543.0,2016-06-01 01:00:00
region_1179,506.0,2016-06-01 01:00:00
region_1178,249.0,2016-06-01 01:00:00
region_1177,97.0,2016-06-01 01:00:00
region_1176,11.0,2016-06-01 01:00:00
region_1175,23.0,2016-06-01 01:00:00
region_1174,63.0,2016-06-01 01:00:00
region_1172,14.0,2016-06-01 01:00:00
region_1132,37.0,2016-06-01 01:00:00
region_1131,96.0,2016-06-01 01:00:00
region_1130,218.0,2016-06-01 01:00:00
region_1129,370.0,2016-06-01 01:00:00
region_1128,212.0,2016-06-01 01:00:00
region_1127,250.0,2016-06-01 01:00:00
region_1126,170.0,2016-06-01 01:00:00
region_1125,73.0,2016-06-01 01:00:00
region_1077,163.0,2016-06-01 01:00:00
region_1076,151.0,2016-06-01 01:00:00
region_1184,45.0,2016-06-01 01:00:00
region_1221,8.0,2016-06-01 01:00:00
region_1075,34.0,2016-06-01 01:00:00
region_1223,16.0,2016-06-01 01:00:00
region_1222,2.0,2016-06-01 01:00:00
region_1285,331.0,2016-06-01 01:00:00
region_1284,103.0,2016-06-01 01:00:00
region_1283,226.0,2016-06-01 01:00:00
region_1282,552.0,2016-06-01 01:00:00
region_1281,644.0,2016-06-01 01:00:00
region_1280,257.0,2016-06-01 01:00:00
region_1279,58.0,2016-06-01 01:00:00
region_1278,20.0,2016-06-01 01:00:00
region_1274,5.0,2016-06-01 01:00:00
region_1273,5.0,2016-06-01 01:00:00
region_1272,5.0,2016-06-01 01:00:00
region_1287,127.0,2016-06-01 01:00:00
region_1235,168.0,2016-06-01 01:00:00
region_1234,430.0,2016-06-01 01:00:00
region_1233,480.0,2016-06-01 01:00:00
region_1232,408.0,2016-06-01 01:00:00
region_1231,536.0,2016-06-01 01:00:00
region_1230,755.0,2016-06-01 01:00:00
region_1229,572.0,2016-06-01 01:00:00
region_1228,263.0,2016-06-01 01:00:00
region_1227,102.0,2016-06-01 01:00:00
region_1225,9.0,2016-06-01 01:00:00
region_1224,29.0,2016-06-01 01:00:00
region_1382,16.0,2016-06-01 02:00:00
region_1383,638.0,2016-06-01 02:00:00
region_1384,757.0,2016-06-01 02:00:00
region_1385,536.0,2016-06-01 02:00:00
region_1390,24.0,2016-06-01 02:00:00
region_1387,41.0,2016-06-01 02:00:00
region_1388,33.0,2016-06-01 02:00:00
region_1389,14.0,2016-06-01 02:00:00
region_1386,57.0,2016-06-01 02:00:00
region_1380,10.0,2016-06-01 02:00:00
region_1338,49.0,2016-06-01 02:00:00
region_1377,1.0,2016-06-01 02:00:00
region_1376,4.0,2016-06-01 02:00:00
region_1339,13.0,2016-06-01 02:00:00
region_1426,1.0,2016-06-01 02:00:00
region_1337,136.0,2016-06-01 02:00:00
region_1336,128.0,2016-06-01 02:00:00
region_1335,228.0,2016-06-01 02:00:00
region_1334,859.0,2016-06-01 02:00:00
region_1333,1014.0,2016-06-01 02:00:00
region_1332,681.0,2016-06-01 02:00:00
region_1331,114.0,2016-06-01 02:00:00
region_1378,3.0,2016-06-01 02:00:00
region_1431,24.0,2016-06-01 02:00:00
region_1438,19.0,2016-06-01 02:00:00
region_1435,8.0,2016-06-01 02:00:00
region_1327,1.0,2016-06-01 02:00:00
region_2119,6.0,2016-06-01 02:00:00
region_2118,71.0,2016-06-01 02:00:00
region_2069,3.0,2016-06-01 02:00:00
